x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame
790.5989,2746.2183,898.407,2932.229,3,0.8841701,1,car,0
856.8905,2256.9497,941.7676,2432.8804,3,0.86509246,3,car,0
887.52124,1336.1274,949.7954,1448.0913,3,0.84839207,5,car,0
890.8581,2050.5737,959.9665,2189.1194,3,0.8468958,7,car,0
809.4117,2482.8,907.4612,2671.3398,3,0.8453751,8,car,0
911.8915,1504.4045,974.1051,1624.1387,3,0.8360689,9,car,0
879.14636,1018.68274,930.25146,1102.8849,3,0.8311334,10,car,0
895.1499,1852.1887,969.8928,2010.7614,3,0.8310842,11,car,0
908.51276,1687.7142,969.89557,1802.4023,3,0.8293096,12,car,0
892.16327,1187.8066,945.39496,1278.9781,3,0.827636,13,car,0
869.55084,894.84924,916.5452,961.28687,3,0.780018,15,car,0
851.6409,807.4592,905.2731,884.4082,3,0.65898675,16,car,0
790.58655,2746.2222,898.4452,2932.25,3,0.8840701,1,car,1
856.85486,2256.9878,941.8037,2432.9536,3,0.86519116,3,car,1
887.48645,1336.1675,949.84436,1448.1826,3,0.8528954,5,car,1
890.8768,2050.584,959.95404,2189.084,3,0.84607255,7,car,1
809.39954,2482.8604,907.27527,2671.3345,3,0.8454983,8,car,1
912.0249,1504.3553,974.29834,1623.861,3,0.8364698,9,car,1
895.15906,1852.1565,969.9291,2010.7097,3,0.8285207,11,car,1
909.7381,1687.9669,969.22687,1801.43,3,0.82835764,12,car,1
878.9678,1019.2306,930.40356,1103.261,3,0.826624,10,car,1
892.5011,1188.654,945.284,1279.6555,3,0.82469755,13,car,1
869.4318,894.15186,916.39435,961.07654,3,0.7851261,15,car,1
851.5631,807.1786,905.2833,883.4404,3,0.683456,16,car,1
790.5152,2746.184,898.4533,2932.2368,3,0.88430065,1,car,2
856.8785,2256.9126,941.7933,2432.8982,3,0.8648496,3,car,2
887.7929,1336.2008,950.1103,1448.2357,3,0.856138,5,car,2
890.9972,2050.602,959.8412,2188.9985,3,0.8478449,7,car,2
809.6534,2482.865,907.45807,2671.401,3,0.8461471,8,car,2
911.84235,1504.1548,974.06195,1624.03,3,0.8369509,9,car,2
895.12775,1852.0437,969.9439,2010.668,3,0.83302313,11,car,2
908.798,1687.8135,969.9852,1802.398,3,0.82855916,12,car,2
878.7633,1020.0507,930.1869,1103.3923,3,0.825157,10,car,2
892.69446,1188.7571,944.95276,1279.8572,3,0.8219077,13,car,2
869.6545,894.00464,916.3427,961.67773,3,0.7819615,15,car,2
851.35986,806.8209,905.38696,883.7862,3,0.6895927,16,car,2
790.5348,2746.3774,898.22736,2932.5273,3,0.8837771,1,car,3
856.7884,2256.8955,941.77936,2433.0989,3,0.8648221,3,car,3
888.13696,1336.1871,950.1083,1447.9844,3,0.8602699,5,car,3
809.2357,2483.009,907.1988,2671.1514,3,0.84826577,8,car,3
890.9288,2050.6245,959.8896,2189.075,3,0.84735143,7,car,3
911.83356,1504.093,974.059,1623.9116,3,0.8358811,9,car,3
895.1933,1852.039,969.9957,2010.6064,3,0.83488286,11,car,3
908.41113,1687.7604,969.9287,1802.3492,3,0.82870215,12,car,3
878.6301,1020.37524,930.2111,1103.4991,3,0.82523954,10,car,3
892.6521,1188.8479,944.53467,1280.6027,3,0.82453096,13,car,3
