epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.561,1.82574,2.45131,1.08515,0.26071,0.16548,0.12021,0.06258,1.70444,1.56717,1.03243,0.0033251,0.0033251,0.0033251
2,185.232,1.74232,1.61812,1.03244,0.24351,0.19952,0.16018,0.08794,1.65051,1.43525,0.99458,0.00659252,0.00659252,0.00659252
3,264.096,1.75375,1.54588,1.02371,0.2398,0.2108,0.16697,0.08908,1.69823,1.43967,0.99757,0.00979393,0.00979393,0.00979393
4,339.019,1.72746,1.49976,1.01449,0.26624,0.2124,0.1769,0.0982,1.67343,1.39279,0.99645,0.009703,0.009703,0.009703
5,415.439,1.68112,1.43401,1.00073,0.27583,0.22918,0.1944,0.10765,1.63264,1.30912,0.97892,0.009604,0.009604,0.009604
6,491.116,1.65401,1.38277,0.98986,0.29685,0.24551,0.21897,0.12014,1.58121,1.29548,0.9702,0.009505,0.009505,0.009505
7,566.656,1.63458,1.34573,0.98505,0.30648,0.24922,0.22648,0.12685,1.55578,1.25226,0.96463,0.009406,0.009406,0.009406
8,641.978,1.60632,1.31474,0.97705,0.32285,0.24161,0.22253,0.12435,1.56329,1.25435,0.9605,0.009307,0.009307,0.009307
9,720.122,1.58941,1.29085,0.97203,0.32841,0.25876,0.23537,0.13264,1.51842,1.22862,0.95753,0.009208,0.009208,0.009208
10,800.305,1.58035,1.26518,0.96596,0.3287,0.27364,0.24728,0.13847,1.51059,1.1947,0.95115,0.009109,0.009109,0.009109
11,881.99,1.55742,1.23772,0.96478,0.33969,0.27032,0.24765,0.13876,1.50377,1.20832,0.9532,0.00901,0.00901,0.00901
12,957.486,1.55184,1.23049,0.9614,0.36308,0.2609,0.24574,0.13957,1.51618,1.20599,0.9498,0.008911,0.008911,0.008911
