epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1539.61,1.4383,1.55312,1.05791,0.45957,0.37966,0.37165,0.22857,1.31736,1.10306,1.00371,0.00332921,0.00332921,0.00332921
2,3680.53,1.37617,1.18767,1.01503,0.47995,0.41043,0.39837,0.24038,1.3136,1.05826,0.99983,0.00659659,0.00659659,0.00659659
3,4689.75,1.40427,1.17894,1.02254,0.48987,0.40039,0.40351,0.24687,1.3054,1.08817,1.00282,0.00979796,0.00979796,0.00979796
4,6678.49,1.41521,1.17737,1.0295,0.49974,0.42152,0.42555,0.25866,1.30076,1.04602,1.00299,0.009703,0.009703,0.009703
5,7683.83,1.39824,1.13983,1.02206,0.52437,0.42093,0.42985,0.26345,1.2938,1.03553,0.99484,0.009604,0.009604,0.009604
6,9095.6,1.37737,1.1044,1.01584,0.51027,0.43203,0.44371,0.27051,1.29336,1.02309,0.99801,0.009505,0.009505,0.009505
7,10310.8,1.36234,1.07914,1.01102,0.53271,0.45131,0.4581,0.28249,1.27521,0.98569,0.98973,0.009406,0.009406,0.009406
8,10750,1.34675,1.05429,1.00398,0.55194,0.45412,0.4687,0.29075,1.2674,0.97064,0.98772,0.009307,0.009307,0.009307
9,15108.5,1.33731,1.04249,1.00213,0.54068,0.45547,0.4667,0.28996,1.26197,0.98046,0.98333,0.009208,0.009208,0.009208
10,17279.9,1.32558,1.0253,0.99733,0.56405,0.46095,0.48049,0.29914,1.25231,0.95796,0.98281,0.009109,0.009109,0.009109
11,18563,1.31312,1.00332,0.99267,0.56592,0.4651,0.48439,0.2976,1.24827,0.95718,0.98029,0.00901,0.00901,0.00901
12,20299.6,1.30595,0.99511,0.98911,0.57572,0.47803,0.49984,0.30791,1.25724,0.93619,0.97892,0.008911,0.008911,0.008911
13,22362.9,1.30525,0.98739,0.98975,0.58743,0.47774,0.50286,0.31448,1.23974,0.93017,0.97703,0.008812,0.008812,0.008812
14,23076.4,1.29286,0.9749,0.98739,0.58175,0.478,0.50248,0.31087,1.24427,0.92718,0.97678,0.008713,0.008713,0.008713
15,24176.2,1.29238,0.96629,0.98224,0.59324,0.47257,0.50032,0.31282,1.24015,0.92399,0.97416,0.008614,0.008614,0.008614
